id,dataset_id,title,title_translation,location,latitude,longitude,auto_geocoded,language,glottolog_id,culture,culture_dplace_id,culture_hraf_id,genres,performers,performer_genders,instrumentation,instrument_use,percussion_use,voice_use,tonality,scale,ambitus,tempo,beat_duration,meters,metric_classification,collectors,collection_date,collection_date_earliest,collection_date_latest,publication_key,publication_type,publication_title,publication_authors,publication_date,publication_page_num,publication_song_num,tune_family_id,catalogue_num,publication_preview_url,encoders,encoding_date,contributors,copyright,license_id,file_path,file_format,version,file_checksum,file_url,file_preview_url,file_has_lyrics,file_has_music,file_has_licence,other_fields,comments,warnings,description,lyrics,lyrics_translation
p0562,pinck-verklingende-weisen,Eins und eins ist Gott allein,,Lothringen,,,,,,,,,religious,,,,,,,G,heptatonic ionian,7b,,,2/4,,,,,,pinck1939verklingende4,,,,,2.0,1,,,,Damien Sagrillo,,,,,data/p0562.krn,kern,,fe25d35adfeb3990e24d9a2206699991,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0562.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0562.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""2/4 ]  ZZ[16"", ""rhy1"": ""X_X_X_X_  X_X_X__   (x2)"", ""rhy2"": ""X_X_X_X_  X_X_X__"", ""key"": ""P0562  16  G 2/4 ]  ZZ[16"", ""kad"": ""-5-52-5-510-514322-5-51"", ""akz"": ""1-6_1-6_12_1-6_1-6_12__1-6_12_32_21_1-7_1-7_1-6_1-6_12_"", ""fot"": ""'a__a__b__a__av_c__d__av_cv_e__es_bw_bw_a__av_c__"", ""for"": ""'a__a__aw_b__bw_a__c__bw_d__b__b__e__e__b__bw_aw_"", ""fok"": ""'\\__\\__/__\\__\\__^__?__\\__^__/__/__Va_Va_\\__\\__^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[VORWIEGEND VOLLTAKTIG]|LOTH VKL|PR[11] 2K[3] 2G[22] 3K[8] 3G[11] 4A[5] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[49] ABS[37] SR[24] SP[24]|ST[7] 2k[3] 2g[22] 3k[3] 3g[5] 4d[3] 4ü[0] 5d[5] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[41] dm[+8] sr[24] sp[16]|1F[5] 2F[38] 3F[28] 4F[3] LF[0] 2P[5] 3P[3] 4P[0] TRI[0] DF[7] AB[39]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[3] U6K[0] U6[0] U7K[0] U7[0]|N1[21] N2K[0] N2[16] N3K[0] N3[24] N4[5] N4Ü[0] N5[26] N6K[0] N6[5],,,,
p0563,pinck-verklingende-weisen,Der himmlische Jäger,,Lothringen,,,,,,,,,religious,,,,,,,F,hexatonic minor,9,,,4/4,,,,,,pinck1939verklingende4,,,,,4.0,1,,,,Damien Sagrillo,,,,,data/p0563.krn,kern,,255a64d1f4d0b08e2d5310a0f4080134,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0563.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0563.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""X__X__X_X_  (X__.X_X_X_)X__   (x2)"", ""rhy2"": ""X_X_  (X__.X_X__)X_X_X__  X__0__"", ""key"": ""P0563  16  F 4/4 ]  ZZ[4"", ""kad"": ""5321"", ""akz"": ""15_513_5512_531_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'/__~a_Ma_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[AUFTAKTIG]|LOTH VKL|PR[22] 2K[3] 2G[19] 3K[3] 3G[0] 4A[3] 4Ü[0] 5A[0] 6K[0] 6G[6]|7K[0] 7G[0] 8A[0] MEHR[0] SI[34] ABS[32] SR[22] SP[13]|ST[10] 2k[3] 2g[28] 3k[6] 3g[3] 4d[3] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[44] dm[-10] sr[31] sp[13]|1F[3] 2F[76] 3F[18] 4F[0] LF[0] 2P[3] 3P[0] 4P[0] TRI[0] DF[4] AB[34]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[6] U6K[0] U6[0] U7K[0] U7[0]|N1[24] N2K[0] N2[21] N3K[0] N3[18] N4[6] N4Ü[0] N5[18] N6K[0] N6[6],,,,
p0564,pinck-verklingende-weisen,Ave Königin,,Lothringen,,,,,,,,,religious,,,,,,,G,hexatonic minor,9,,,4/4,,,,,,pinck1939verklingende4,,,,,5.0,3,,,,Damien Sagrillo,,,,,data/p0564.krn,kern,,348cbb26d8c3d3dce64617f4dcdc9188,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0564.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0564.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[4"", ""rhy1"": ""X_  X_X_X_X_  X_X_X__   (x2)"", ""rhy2"": ""X__X_X_  X_X_X_"", ""key"": ""P0564  08  G 4/4 ]  ZZ[4"", ""kad"": ""-5211"", ""akz"": ""111-5_3242_5553_6541231_"", ""fot"": ""'a__b__as\""c__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'^__\\__^d_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[GEMISCHTTAKTIG]|LOTH VKL|PR[26] 2K[6] 2G[19] 3K[0] 3G[6] 4A[4] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[33] ABS[54] SR[24] SP[9]|ST[22] 2k[6] 2g[31] 3k[2] 3g[0] 4d[2] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[41] dm[-8] sr[37] sp[4]|1F[44] 2F[42] 3F[2] 4F[0] LF[0] 2P[12] 3P[0] 4P[0] TRI[0] DF[4] AB[59]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[7] U6K[0] U6[9] U7K[0] U7[4]|N1[31] N2K[2] N2[18] N3K[0] N3[18] N4[7] N4Ü[0] N5[4] N6K[0] N6[0],,,,
p0565,pinck-verklingende-weisen,Singen wir alle Kyrie,,Lothringen,,,,,,,,,religious,,,,,,,G,octatonic major,8,,,2/4|3/4,,,,,,pinck1939verklingende4,,,,,6.0,4,,,,Damien Sagrillo,,,,,data/p0565.krn,kern,,8edc96afc2b5514a62f1abda4210a29d,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0565.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0565.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""2/4 3/4]  ZZ[6"", ""rhy1"": ""X_XX_  XXXX  X_.X  X_0_"", ""rhy2"": ""X_.X  XXX_  X_.X  X_0_"", ""key"": ""P0565  08  G 2/4 3/4]  ZZ[6"", ""kad"": ""31-6-531"", ""akz"": ""353_3121_-511-5_-6-7-5_1353_3121_"", ""fot"": ""'a__b__c__d__a__b__"", ""for"": ""'a__b__c__d__e__bv_"", ""fok"": ""'^a_Sd_^a_^d_^a_Sd_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[VORWIEGEND VOLLTAKTIG]|LOTH VKL|PR[11] 2K[11] 2G[25] 3K[0] 3G[0] 4A[6] 4Ü[0] 5A[3] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[44] ABS[36] SR[36] SP[8]|ST[13] 2k[11] 2g[25] 3k[3] 3g[3] 4d[3] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[44] dm[0] sr[36] sp[8]|1F[3] 2F[14] 3F[65] 4F[14] LF[0] 2P[3] 3P[3] 4P[0] TRI[0] DF[6] AB[37]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[3] U6K[0] U6[0] U7K[0] U7[0]|N1[14] N2K[0] N2[16] N3K[0] N3[19] N4[11] N4Ü[5] N5[27] N6K[0] N6[5],,,,
p0566,pinck-verklingende-weisen,Der Fisch(?) Concelebrant,,Lothringen,,,,,,,,,religious,,,,,,,F,heptatonic major,9,,,3/4,,,,,,pinck1939verklingende4,,,,,7.0,4-5,,,,Damien Sagrillo,,,,,data/p0566.krn,kern,,a984c3d72f56e722b3b478b023d815e6,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0566.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0566.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[4"", ""rhy1"": ""X__  X__X__X__  X__X__X_X_  X__X__X__  X___   (x2)"", ""rhy2"": ""X__  X__X__X__  X___X_X_  X__X__X__  X__.X_"", ""key"": ""P0566  16  F 3/4 ]  ZZ[4"", ""kad"": ""5421"", ""akz"": ""134#5_2555_43_231_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__aw_c__"", ""fok"": ""'/__Sd_\\__^__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[AUFTAKTIG]|LOTH VKL|PR[22] 2K[8] 2G[19] 3K[6] 3G[0] 4A[0] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[33] ABS[36] SR[28] SP[6]|ST[0] 2k[17] 2g[28] 3k[0] 3g[0] 4d[0] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[44] dm[-11] sr[44] sp[0]|1F[3] 2F[45] 3F[50] 4F[0] LF[0] 2P[3] 3P[0] 4P[0] TRI[0] DF[4] AB[40]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[5] U7[0]|N1[22] N2K[0] N2[35] N3K[27] N3[0] N4[5] N4Ü[0] N5[5] N6K[0] N6[0],,,,
p0567,pinck-verklingende-weisen,Als ich bei meinen Schafen wacht,,Lothringen,,,,,,,,,religious,,,,,,,G,hexatonic minor,6,,,free,,,,,,pinck1939verklingende4,,,,,8.0,6,,,,Damien Sagrillo,,,,,data/p0567.krn,kern,,d4291f2b671cc8567fa081ec093a2eec,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0567.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0567.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""FREI]  ZZ[4 interpreted as [0/4, 0/4]"", ""rhy1"": ""X__X_X_X_X_  X__X__X__0_   (x2)"", ""rhy2"": ""X__X_X_X_X_  X__X__X__0_"", ""key"": ""P0567  08  G FREI]  ZZ[4"", ""kad"": ""3b3b51"", ""akz"": ""3b1_3b1_3b1_53b_"", ""fot"": ""'a__a__b__c__"", ""for"": ""'a__a__b__c__"", ""fok"": ""'V__V__Va_\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",LOTH VKL|PR[4] 2K[6] 2G[8] 3K[8] 3G[14] 4A[14] 4Ü[0] 5A[1] 6K[0] 6G[0]|7K[0] 7G[0] 8A[3] MEHR[0] SI[54] ABS[72] SR[14] SP[40]|ST[17] 2k[3] 2g[10] 3k[8] 3g[3] 4d[4] 4ü[0] 5d[0] 6k[0] 6g[10]|7k[4] 7g[0] 8d[0] mehr[0] si[42] dm[+12] sr[13] sp[29]|1F[78] 2F[17] 3F[5] 4F[0] LF[0] 2P[0] 3P[0] 4P[0] TRI[0] DF[3] AB[77]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[23] U6K[0] U6[4] U7K[0] U7[4]|N1[19] N2K[0] N2[5] N3K[0] N3[23] N4[8] N4Ü[0] N5[11] N6K[0] N6[1],,,,
p0568,pinck-verklingende-weisen,"Auf Hirten, auf erwacht ...",,Lothringen,,,,,,,,,religious,,,,,,,A,heptatonic ionian,9,,,6/8,,,,,,pinck1939verklingende4,,,,,9.0,7,,,,Damien Sagrillo,,,,,data/p0568.krn,kern,,5d4f0be749918b5d1be89d136873c269,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0568.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0568.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""6/8 ]  ZZ[8"", ""rhy1"": ""X  XXXXXX  X_XX_"", ""rhy2"": ""X  XXXXXX  X__^"", ""key"": ""P0568  08  A 6/8 ]  ZZ[8"", ""kad"": ""5151-5351"", ""akz"": ""1115_2-511_1115_2-511_423-53-5_4433_1115_2-511_"", ""fot"": ""'a__b__a__b__c__d__a__b__"", ""for"": ""'a__aw_a__aw_b__c__a__aw_"", ""fok"": ""'/__Vd_/__Vd_\\__Sd_/__Vd_"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[AUFTAKTIG]|LOTH VKL|PR[23] 2K[3] 2G[9] 3K[7] 3G[8] 4A[0] 4Ü[0] 5A[1] 6K[0] 6G[7]|7K[0] 7G[0] 8A[0] MEHR[0] SI[35] ABS[101] SR[12] SP[23]|ST[43] 2k[4] 2g[16] 3k[5] 3g[9] 4d[5] 4ü[0] 5d[2] 6k[0] 6g[2]|7k[0] 7g[0] 8d[0] mehr[0] si[43] dm[-8] sr[20] sp[23]|1F[3] 2F[8] 3F[59] 4F[25] LF[0] 2P[3] 3P[0] 4P[3] TRI[3] DF[6] AB[104]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[7] U6K[0] U6[0] U7K[0] U7[0]|N1[29] N2K[0] N2[9] N3K[0] N3[28] N4[9] N4Ü[0] N5[12] N6K[0] N6[6],,,,
p0569,pinck-verklingende-weisen,Der Engel und die Hirten,,Lothringen,,,,,,,,,religious,,,,,,,F,hexatonic minor,9,,,3/4,,,,,,pinck1939verklingende4,,,,,10.0,8,,,,Damien Sagrillo,,,,,data/p0569.krn,kern,,769b776368be9ef89c2ca5ecfecce26e,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0569.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0569.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""3/4 ]  ZZ[11"", ""rhy1"": ""X__  X___X__  X__X__X__  X__X__X__  X___   (x4)"", ""rhy2"": ""X__  X___X__  X___X__  X__X__X__  X___"", ""key"": ""P0569  16  F 3/4 ]  ZZ[11"", ""kad"": ""13513516111"", ""akz"": ""1111_3343_1-515_1111_3343_1-515_111_3356_6321_1111_6321_"", ""fot"": ""'a__as\""b__aw_as\""b__c__d__e__av_ew_"", ""for"": ""'a__b__c__b__b__cv_d__e__f__dw_f__"", ""fok"": ""'^__^__Va_^__^__Va_^__/__\\__^__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[VORWIEGEND AUFTAKTIG]|LOTH VKL|PR[2] 2K[4] 2G[21] 3K[13] 3G[0] 4A[2] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[40] ABS[47] SR[26] SP[15]|ST[12] 2k[13] 2g[36] 3k[9] 3g[0] 4d[0] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[57] dm[-17] sr[49] sp[9]|1F[53] 2F[30] 3F[17] 4F[0] LF[0] 2P[0] 3P[0] 4P[0] TRI[0] DF[3] AB[53]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[0] U7[0]|N1[17] N2K[0] N2[25] N3K[0] N3[29] N4[13] N4Ü[0] N5[17] N6K[0] N6[0],,,,
p0570,pinck-verklingende-weisen,"Still, still, still, wer Gott erkennen will",,Lothringen,,,,,,,,,religious,,,,,,,F,pentatonic major,5,,,4/4,,,,,,pinck1939verklingende4,,,,,12.0,9,,,,Damien Sagrillo,,,,,data/p0570.krn,kern,,e26019ece1aa6368a5ef70914bc71e28,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0570.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0570.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[6"", ""rhy1"": ""X__X__  X__0_"", ""rhy2"": ""XX  XXX_XXX_  X__0_"", ""key"": ""P0570  08  F 4/4 ]  ZZ[6"", ""kad"": ""312231"", ""akz"": ""543_321_3322_3322_543_321_"", ""fot"": ""'a__as'b__b__a__as'"", ""for"": ""'a__b__c__cv_a__bv_"", ""fok"": ""'\\__\\__Ma_Ma_\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[VORWIEGEND AUFTAKTIG]|LOTH VKL|PR[27] 2K[0] 2G[14] 3K[2] 3G[0] 4A[15] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[30] ABS[66] SR[14] SP[17]|ST[14] 2k[8] 2g[27] 3k[0] 3g[0] 4d[8] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[42] dm[-12] sr[35] sp[8]|1F[55] 2F[38] 3F[6] 4F[0] LF[0] 2P[1] 3P[0] 4P[0] TRI[0] DF[4] AB[71]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[9] U6K[0] U6[0] U7K[0] U7[0]|N1[22] N2K[0] N2[22] N3K[0] N3[39] N4[7] N4Ü[0] N5[0] N6K[0] N6[0],,,,
p0571,pinck-verklingende-weisen,Neujahrslied,,Lothringen,,,,,,,,,new year,,,,,,,A,pentatonic major,7b,,,4/4,,,,,,pinck1939verklingende4,,,,,12.0,10,,,,Damien Sagrillo,,,,,data/p0571.krn,kern,,f16f3511cb5eaa6dc970d55d00099ca8,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0571.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0571.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""4/4 ]  ZZ[7"", ""rhy1"": ""X_  X_.XX_X_  X_XXX_"", ""rhy2"": ""X_  XXXXX_XX  X__0_"", ""key"": ""P0571  08  A 4/4 ]  ZZ[7"", ""kad"": ""1111111"", ""akz"": ""1131_321_321_1131_1131_321_321_"", ""fot"": ""'a__b__b__av_av_b__b__"", ""for"": ""'a__b__b__c__d__b__b__"", ""fok"": ""'^a_\\__\\__^a_^a_\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",PHRAS[AUFTAKTIG]|LOTH VKL|PR[46] 2K[5] 2G[15] 3K[0] 3G[3] 4A[0] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[23] ABS[39] SR[21] SP[3]|ST[0] 2k[5] 2g[26] 3k[0] 3g[0] 4d[0] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[31] dm[-8] sr[31] sp[0]|1F[90] 2F[10] 3F[0] 4F[0] LF[0] 2P[0] 3P[0] 4P[0] TRI[0] DF[2] AB[40]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[0] U7[0]|N1[13] N2K[0] N2[43] N3K[0] N3[40] N4[5] N4Ü[0] N5[0] N6K[0] N6[0],,,,
p0572,pinck-verklingende-weisen,Karwochenlied,,Lothringen,,,,,,,,,religious,,,,,,,F,tetratonic,4,,,free,,,,,,pinck1939verklingende4,,,,,14.0,11,,,,Damien Sagrillo,,,,,data/p0572.krn,kern,,999cbd7cb7ab9e4c0d039c5a3195d2bc,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0572.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0572.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""4"", ""meters"": ""FREI]  ZZ[4 interpreted as [0/4, 0/4]"", ""rhy1"": ""XXXXXXXXX_"", ""rhy2"": ""XXXXXXXXXXX_"", ""key"": ""P0572  04  F FREI]  ZZ[4"", ""kad"": ""2121"", ""akz"": ""3_2_3_2_"", ""fot"": ""'a__as'aw_as'"", ""for"": ""'a__b__c__c__"", ""fok"": ""'\\__\\__\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}",LOTH VKL|PR[48] 2K[3] 2G[3] 3K[7] 3G[3] 4A[3] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[21] ABS[29] SR[7] SP[14]|ST[0] 2k[10] 2g[10] 3k[3] 3g[3] 4d[3] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[31] dm[-10] sr[21] sp[10]|1F[6] 2F[76] 3F[18] 4F[0] LF[0] 2P[0] 3P[0] 4P[0] TRI[0] DF[3] AB[34]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[3] U7[3]|N1[20] N2K[0] N2[17] N3K[33] N3[0] N4[13] N4Ü[0] N5[10] N6K[0] N6[0],,,,
p0573,pinck-verklingende-weisen,Das jüngste cht,,Lothringen,,,,,,,,,religious,,,,,,,A,heptatonic minor,6,,,free,,,,,,pinck1939verklingende4,,,,,16.0,4-12,,,,Damien Sagrillo,,,,,data/p0573.krn,kern,,7b54a26e2ab0f26fa852ffaa2c71c68d,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0573.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0573.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""FREI]  ZZ[4 interpreted as [0/4, 0/4]"", ""rhy1"": ""X_X__0X_X__0X_X_X_0   (x2)"", ""rhy2"": ""X_X_X__X__X__X_X_X__"", ""key"": ""P0573  16  A FREI]  ZZ[4"", ""kad"": ""4-7b21"", ""akz"": ""3b_4_3b_3b_"", ""fot"": ""'a__b__c__d__"", ""for"": ""'a__b__bw_c__"", ""fok"": ""'/__\\__\\__\\__"", ""n7k"": ""0] N7[0] O1[0] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}","Gericht (12-4), S. 16]|LOTH VKL|PR[30] 2K[0] 2G[4] 3K[7] 3G[11] 4A[4] 4Ü[0] 5A[4] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[30] ABS[27] SR[4] SP[26]|ST[9] 2k[0] 2g[26] 3k[11] 3g[4] 4d[0] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[41] dm[-11] sr[26] sp[15]|1F[31] 2F[59] 3F[7] 4F[0] LF[0] 2P[3] 3P[0] 4P[0] TRI[0] DF[4] AB[29]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[4] U6K[0] U6[0] U7K[0] U7[0]|N1[21] N2K[0] N2[14] N3K[0] N3[46] N4[0] N4Ü[0] N5[14] N6K[0] N6[0]",,,,
p0574,pinck-verklingende-weisen,Ich wine wei&szlig;e Spinnerin,,Lothringen,,,,,,,,,religious,,,,,,,G,tetratonic,8,,,3/4,,,,,,pinck1939verklingende4,,,,,18.0,13,,,,Damien Sagrillo,,,,,data/p0574.krn,kern,,1fce88c26652e42cb3d1bf1565051602,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0574.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0574.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""8"", ""meters"": ""3/4 ]  ZZ[3"", ""rhy1"": ""X_  X_X_XX  XXX_XX  X_0_"", ""rhy2"": ""X_  X_.XX_  X_X_X_  X__"", ""key"": ""P0574  08  G 3/4 ]  ZZ[3"", ""kad"": ""251"", ""akz"": ""132_325_321_"", ""fot"": ""'a__b__c__"", ""for"": ""'a__b__c__"", ""fok"": ""'/__~a_\\__"", ""n7k"": ""0] N7[8] O1[8] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}","iß eine weiße Spinnerin (4-13), S. 18]|PHRAS[AUFTAKTIG]|LOTH VKL|PR[23] 2K[5] 2G[23] 3K[3] 3G[3] 4A[3] 4Ü[0] 5A[0] 6K[0] 6G[0]|7K[0] 7G[0] 8A[0] MEHR[0] SI[36] ABS[39] SR[28] SP[8]|ST[8] 2k[8] 2g[28] 3k[3] 3g[3] 4d[0] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[41] dm[-5] sr[36] sp[5]|1F[15] 2F[60] 3F[15] 4F[0] LF[0] 2P[5] 3P[5] 4P[0] TRI[0] DF[5] AB[40]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[0] U7[0]|N1[8] N2K[0] N2[10] N3K[0] N3[15] N4[5] N4Ü[0] N5[25] N6K[0] N6[23]",,,,
p0575,pinck-verklingende-weisen,"Der Maler der Blumen ), S. 19",,Lothringen,,,,,,,,,religious,,,,,,,F,heptatonic ionian,8,,,6/8,,,,,,pinck1939verklingende4,,,,,19.0,4-14,,,,Damien Sagrillo,,,,,data/p0575.krn,kern,,a8bd8161ac4b2a72bdae03512cd99f37,http://verovio.humdrum.org/?file=sagrillo/lorraine/p0575.krn,https://kern.humdrum.org/cgi-bin/ksdata?file=p0575.krn&l=users/sagrillo/lorraine&format=kern,False,True,,"{""minrhy"": ""16"", ""meters"": ""6/8 ]  ZZ[4"", ""rhy1"": ""X_  X__X_X_X_X_  X__X_X__"", ""rhy2"": ""X_  X_X_X_X_X_XX  X__.X__"", ""key"": ""P0575  16  F 6/8 ]  ZZ[4"", ""kad"": ""5531"", ""akz"": ""3335_6665_6+153_2521_"", ""fot"": ""'a__as\""b__c__"", ""for"": ""'a__b__c__d__"", ""fok"": ""'/__^__^d_^__"", ""n7k"": ""2] N7[0] O1[2] O2K[0] O2[0] O3K[0] O3[0] H\u00d6[0""}","4-14), S. 19]|PHRAS[AUFTAKTIG]|LOTH VKL|PR[33] 2K[5] 2G[10] 3K[3] 3G[0] 4A[5] 4Ü[0] 5A[3] 6K[0] 6G[3]|7K[0] 7G[0] 8A[0] MEHR[0] SI[28] ABS[40] SR[15] SP[13]|ST[0] 2k[5] 2g[23] 3k[8] 3g[0] 4d[5] 4ü[0] 5d[0] 6k[0] 6g[0]|7k[0] 7g[0] 8d[0] mehr[0] si[40] dm[-12] sr[28] sp[13]|1F[2] 2F[61] 3F[22] 4F[2] LF[0] 2P[2] 3P[10] 4P[0] TRI[0] DF[6] AB[41]|TF[0] U3K[0] U3[0] U4[0] U4Ü[0] U5[0] U6K[0] U6[0] U7K[0] U7[0]|N1[22] N2K[0] N2[12] N3K[5] N3[0] N4[15] N4Ü[0] N5[32] N6K[0] N6[10]",,,,
